,Number,Label,Brand,Title,price,Review_Number,href,date
64,65,Exclusive,Hampton Bay,"Riley 44 in. Indoor LED Brushed Nickel Ceiling Fan with Light Kit, 5 QuickInstall Reversible Blades and Remote Control",$89.00,414,https://www.homedepot.com/p/Hampton-Bay-Riley-44-in-Indoor-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-5-QuickInstall-Reversible-Blades-and-Remote-Control-52144/314459952,2024-07-11
65,66,Sponsored,JONATHAN Y,Kristie 52 in. 3-Light Chrome Crystal/Metal Modern Glam Drum LED Indoor Ceiling Fan With Remote,$148.91,5,https://www.homedepot.com/p/JONATHAN-Y-Kristie-52-in-3-Light-Chrome-Crystal-Metal-Modern-Glam-Drum-LED-Indoor-Ceiling-Fan-With-Remote-JYL9709A/318691909,2024-07-11
66,67,Sponsored,MODERN HABITAT,WhisperBloom 52 in. Indoor Satin Brass Ceiling Fan with LED Light Bulbs and Remote Control,$149.00,36,https://www.homedepot.com/p/MODERN-HABITAT-WhisperBloom-52-in-Indoor-Satin-Brass-Ceiling-Fan-with-LED-Light-Bulbs-and-Remote-Control-CFL-1891-5252BA/328410409,2024-07-11
67,68,,Hunter,Dempsey 52 in. Low Profile LED Indoor Fresh White Ceiling Fan with Universal Remote,$199.99,576,https://www.homedepot.com/p/Hunter-Dempsey-52-in-Low-Profile-LED-Indoor-Fresh-White-Ceiling-Fan-with-Universal-Remote-59242/300228856,2024-07-11
68,69,Exclusive,Hampton Bay,Wellston II 44 in. Indoor LED Bronze Dry Rated Downrod Ceiling Fan with Light Kit and 5 Reversible Blades,$74.97,419,https://www.homedepot.com/p/Hampton-Bay-Wellston-II-44-in-Indoor-LED-Bronze-Dry-Rated-Downrod-Ceiling-Fan-with-Light-Kit-and-5-Reversible-Blades-52044/313076560,2024-07-11
69,70,Sponsored,Designers Fountain,Cassini 52 in. Smart Indoor/Covered Outdoor Matte Black Modern Adjustable White and RGB Ceiling Fan Light with Remote,$199.00,36,https://www.homedepot.com/p/Designers-Fountain-Cassini-52-in-Smart-Indoor-Covered-Outdoor-Matte-Black-Modern-Adjustable-White-and-RGB-Ceiling-Fan-Light-with-Remote-FS-CSN52RGB-MB/328196694,2024-07-11
70,71,Exclusive,Hampton Bay,"Cedar Lake 44 in. Indoor/Outdoor LED Matte Black Damp Rated Ceiling Fan with Light Kit, Downrod and 4 Reversible Blades",$99.00,232,https://www.homedepot.com/p/Hampton-Bay-Cedar-Lake-44-in-Indoor-Outdoor-LED-Matte-Black-Damp-Rated-Ceiling-Fan-with-Light-Kit-Downrod-and-4-Reversible-Blades-52109/314459847,2024-07-11
71,72,,Hunter,Antero 52 in. Hunter Express Indoor Matte Silver Ceiling Fan with Light Kit Included,$149.00,199,https://www.homedepot.com/p/Hunter-Antero-52-in-Hunter-Express-Indoor-Matte-Silver-Ceiling-Fan-with-Light-Kit-Included-52128/323008031,2024-07-11
72,73,Exclusive,Hampton Bay,"Carriage House 52 in. Indoor LED Polished Brass Ceiling Fan with Light Kit, Reversible Motor and Reversible Blades",$87.96,1944,https://www.homedepot.com/p/Hampton-Bay-Carriage-House-52-in-Indoor-LED-Polished-Brass-Ceiling-Fan-with-Light-Kit-Reversible-Motor-and-Reversible-Blades-46008/301505289,2024-07-11
73,74,Sponsored,Sofucor,52 in. Changing Integrated LED Indoor/Outdoor Black Ceiling Fan with Light Kit and Remote Control,$182.64,3,https://www.homedepot.com/p/Sofucor-52-in-Changing-Integrated-LED-Indoor-Outdoor-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-KYL52144BKHTM/323430627,2024-07-11
74,75,Exclusive,Hunter,Ristrello 44 in. LED Low Profile Indoor Fresh White Ceiling Fan with Light Kit,$99.00,457,https://www.homedepot.com/p/Hunter-Ristrello-44-in-LED-Low-Profile-Indoor-Fresh-White-Ceiling-Fan-with-Light-Kit-50189/313171229,2024-07-11
75,76,Exclusive,Hampton Bay,"Castlegate 44 in. Indoor Integrated LED Matte Black Ceiling Fan with 3 Reversible Blades, Light Kit and Remote Control",$114.00,110,https://www.homedepot.com/p/Hampton-Bay-Castlegate-44-in-Indoor-Integrated-LED-Matte-Black-Ceiling-Fan-with-3-Reversible-Blades-Light-Kit-and-Remote-Control-52192/314459962,2024-07-11
76,77,,Big Ass Fans,Haiku 52 in. L Indoor Black Ceiling Fan with Integrated LED with Light Works with Alexa and Remote Control Included,$640.00,81,https://www.homedepot.com/p/Big-Ass-Fans-Haiku-52-in-L-Indoor-Black-Ceiling-Fan-with-Integrated-LED-with-Light-Works-with-Alexa-and-Remote-Control-Included-FR127C-U1H00-3L02-09258-258P610/206890749,2024-07-11
77,78,Exclusive,Hampton Bay,Melrose 52 in. Indoor LED Hugger Bronze Dry Rated Ceiling Fan with Light Kit and 5 Reversible Blades,$79.97,181,https://www.homedepot.com/p/Hampton-Bay-Melrose-52-in-Indoor-LED-Hugger-Bronze-Dry-Rated-Ceiling-Fan-with-Light-Kit-and-5-Reversible-Blades-52101/314459854,2024-07-11
78,79,,Hunter,Channing 52 in. Hunter Express Indoor Matte Silver Ceiling Fan with Light Kit Included,$159.00,171,https://www.homedepot.com/p/Hunter-Channing-52-in-Hunter-Express-Indoor-Matte-Silver-Ceiling-Fan-with-Light-Kit-Included-52168/323008024,2024-07-11
79,80,Exclusive,Hunter,Moxie 52 in. Integrated LED Indoor Matte Black Ceiling Fan with Light Kit and Remote Control,$262.69,203,https://www.homedepot.com/p/Hunter-Moxie-52-in-Integrated-LED-Indoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-51402/315439039,2024-07-11
80,81,,,20 in. Indoor Black Caged Enclosed Ceiling Fan with LED Light Modern Low Profile Ceiling Fan with Remote and APP Control,$133.44,40,https://www.homedepot.com/p/20-in-Indoor-Black-Caged-Enclosed-Ceiling-Fan-with-LED-Light-Modern-Low-Profile-Ceiling-Fan-with-Remote-and-APP-Control-HD-IL-02/326159662,2024-07-11
